rose	pink
io	Ich
il suo	sein
lui	er, ihn, ihm
era	war
per	für
su	auf
loro sono	sie sind
con	mit
essi	sie (Plural)
essere	zu sein
a	at, to
avere	zu haben
questo	das
da	von, aus, ab, durch
caldo	heiß, warm
parola	Wort
ma	aber, jedoch
cosa, che, che cosa	was, etwas, Ding, Sache
alcuni	einige, manche
è	ist
esso	es
tu	du
voi	ihr
o	oder, entweder, sonst
aveva	hatte
e	und
noi	wir, uns
lattina	Dose
fuori	raus
altre, altro	andere, weitere
erano	waren
che	dass, so dass
dopo che	nachdem
cui	dessen, deren
fare	tun, machen
loro	sie (Plural), ihnen
tempo	Zeit, Wetter
se	ob, wenn
volontà	Wille
come	wie, als, so ... wie
suddetto	wie gesagt
ogni	jede, alle
ciascuno	jeder
dire	zu sagen
fa	vor
desiderare, volere	zu wollen
aria	Luft
bene, buono	gut
anche	auch, ebenfalls, außerdem, schon
giocare	zu spielen
piccolo	klein
fine	Ende, Ziel
mettere, porre	legen, stellen, etwas setzen
casa	Haus, Zuhause
leggere	zu lesen
mano	Hand
porto	Hafen
grande	groß, großartig
compitare	zu buchstabieren
aggiungere	hinzufügen, hinzugeben
terra	Boden, Erd-
qui	hier
alto	hoch, groß
tale	solche, diese, so
seguire	zu folgen, zu verfolgen
l'atto	der Akt
perché	warum, wieso
chiedere, domandare	fragen
maschi	Männer
il cambiamento	die Änderung
è andato	ging
luce	Licht
tipo	Art, Typ
spento	aus, erloschen, ausgeschaltet
bisogno	zu brauchen
immagine	Bild
provare	zu versuchen
ancora, di nuovo	wieder
animale	Tier
punto	Punkt
madre	Mutter
mondo	Welt
prossimo, vicino	nah
costruire	zu bauen, zu konstruieren
stesso	eigene, sich selbst, dasselbe, das Gleiche
padre	Vater
qualsiasi, qualunque	irgendwas, irgendein, irgendwelcher
nuovo	neu
il lavoro	die Arbeit
parte	Teil, Abschnitt, Gegend, Anteil
prendere	zu nehmen
ottenere	zu kriegen, zu bekommen
posto	Platz, Ort, Stelle
fatto	Fakt, Tatsache
vivere	zu leben
dove	wo, wohin
dopo	nach, danach, später
indietro	zurück, rückwärts
un poco	ein bisschen
solo	nur, allein, einzig
rotondo	rund
torno	Runde
uomo	Mann, Mensch
anno	Jahr
è venuto	kam
lo spettacolo	die Show, das Spektakel
me	mir, mich
dare	zu geben
il nostro	unser
sotto	unter
nome	Name
molto	sehr, viel
attraverso	durch
forma	Form, Figur
frase	Satz (also in der Sprache)
pensare	zu denken
aiutare	zu helfen
basso	niedrig, klein
linea	Linie
differire	abweichen
turno	Schicht, Dienst, Runde
causa	Grund, Ursache
prima	bevor, vorher
spostare	verschieben, verrücken, umziehen
lato destro	rechte Seite
ragazzo	Junge
vecchio	alt
troppo	zu viel
pari, uguale	gleich
lei	sie, ihr
tutto	alles, ganz, jeder
là/lì	dort
quando	wenn, während
il uso	der Nutze, Gebrauch
il tuo	dein
via	weg, fort
via via	nach und nach
modo	Art, Weise
strada, sentiero	Straße, Weg
circa	ungefähr
tanti	viel, groß
poi	später, dann
allora	dann, also
scrivere	zu schreiben
sarebbe	würde
così	so, so sehr, deshalb
quindi	danach, dann
lungo	lang
